target,status,err,completion_time
EURUSD,1,ok,2018-11-12 08:27:43
EEM,1,ok,2018-11-12 08:43:20
EFA,1,ok,2018-11-12 09:00:18
EWZ,1,ok,2018-11-12 09:17:23
FXI,1,ok,2018-11-12 07:37:24
GDX,1,ok,2018-11-12 07:56:00
HYG,1,ok,2018-11-12 08:14:25
IAU,1,ok,2018-11-12 08:31:17
IWM,1,ok,2018-11-12 07:37:24
SPY,1,ok,2018-11-12 07:56:05
USO,1,ok,2018-11-12 08:14:36
VWO,1,ok,2018-11-12 08:31:33
XLE,1,ok,2018-11-12 07:37:24
XLF,1,ok,2018-11-12 07:56:10
XLI,1,ok,2018-11-12 08:14:33
XLK,1,ok,2018-11-12 08:31:28
XLP,1,ok,2018-11-12 08:48:18
XLU,1,ok,2018-11-12 09:06:15
XOP,1,ok,2018-11-12 09:24:07
JNK,1,ok,2018-11-12 09:42:06
IYR,1,ok,2018-11-12 08:48:30
VEA,1,ok,2018-11-12 09:06:25
SLV,1,ok,2018-11-12 09:24:25
XLV,1,ok,2018-11-12 09:42:19
RSX,1,ok,2018-11-12 08:48:37
TLT,1,ok,2018-11-12 09:06:27
EWJ,1,ok,2018-11-12 09:24:28
OIH,1,ok,2018-11-12 09:42:23
GLD,1,ok,2018-11-12 09:34:32
EZU,1,ok,2018-11-12 09:51:22
KRE,1,ok,2018-11-12 10:08:02
SMH,1,ok,2018-11-12 10:25:00
XLB,1,ok,2018-11-12 09:59:41
XRT,1,ok,2018-11-12 10:17:22
LQD,1,ok,2018-11-12 10:35:14
EWT,1,ok,2018-11-12 10:52:27
XLY,1,ok,2018-11-12 10:00:04
VNQ,1,ok,2018-11-12 10:17:53
EWH,1,ok,2018-11-12 10:35:50
EWW,1,ok,2018-11-12 10:53:07
XBI,1,ok,2018-11-12 10:00:11
DIA,1,ok,2018-11-12 10:17:53
EWG,1,ok,2018-11-12 10:35:59
VGK,1,ok,2018-11-12 10:53:17
IEF,1,ok,2018-11-12 10:41:56
EMB,1,ok,2018-11-12 10:56:53
FEZ,1,ok,2018-11-12 11:12:15
AGG,1,ok,2018-11-12 11:30:59
ITB,1,ok,2018-11-12 11:05:23
EWC,1,ok,2018-11-12 11:23:17
UNG,1,ok,2018-11-12 11:40:39
USDJPY,1,ok,2018-11-12 12:37:02
GBPUSD,1,ok,2018-11-12 11:53:28
AUDUSD,1,ok,2018-11-12 12:48:41
USDCAD,1,ok,2018-11-12 13:22:07
EURJPY,1,ok,2018-11-12 13:56:45
NZDUSD,1,ok,2018-11-12 11:53:26
XAGUSD,1,ok,2018-11-12 12:48:37
