target,status,err,completion_time
EURUSD,1,ok,2018-11-12 21:36:36
EEM,1,ok,2018-11-12 21:52:43
EFA,1,ok,2018-11-12 22:08:56
EWZ,1,ok,2018-11-12 22:25:34
FXI,1,ok,2018-11-12 20:48:43
GDX,1,ok,2018-11-12 21:07:14
HYG,1,ok,2018-11-12 21:25:44
IAU,1,ok,2018-11-12 21:43:08
IWM,1,ok,2018-11-12 20:48:42
SPY,1,ok,2018-11-12 21:07:06
USO,1,ok,2018-11-12 21:25:37
VWO,1,ok,2018-11-12 21:42:59
XLE,1,ok,2018-11-12 20:48:41
XLF,1,ok,2018-11-12 21:07:16
XLI,1,ok,2018-11-12 21:25:49
XLK,1,ok,2018-11-12 21:43:14
XLP,1,ok,2018-11-12 22:00:13
XLU,1,ok,2018-11-12 22:17:34
XOP,1,ok,2018-11-12 22:35:10
JNK,1,ok,2018-11-12 22:52:29
IYR,1,ok,2018-11-12 22:00:22
VEA,1,ok,2018-11-12 22:17:46
SLV,1,ok,2018-11-12 22:35:14
XLV,1,ok,2018-11-12 22:52:33
RSX,1,ok,2018-11-12 22:00:26
TLT,1,ok,2018-11-12 22:17:44
EWJ,1,ok,2018-11-12 22:35:18
OIH,1,ok,2018-11-12 22:52:37
GLD,1,ok,2018-11-12 22:42:12
EZU,1,ok,2018-11-12 22:57:53
KRE,1,ok,2018-11-12 23:13:20
SMH,1,ok,2018-11-12 23:29:41
XLB,1,ok,2018-11-12 23:09:11
XRT,1,ok,2018-11-12 23:26:11
LQD,1,ok,2018-11-12 23:43:45
EWT,1,ok,2018-11-13 00:01:29
XLY,1,ok,2018-11-12 23:09:18
VNQ,1,ok,2018-11-12 23:26:18
EWH,1,ok,2018-11-12 23:43:54
EWW,1,ok,2018-11-13 00:01:36
XBI,1,ok,2018-11-12 23:09:23
DIA,1,ok,2018-11-12 23:26:23
EWG,1,ok,2018-11-12 23:44:03
VGK,1,ok,2018-11-13 00:01:44
IEF,1,ok,2018-11-12 23:46:38
EMB,1,ok,2018-11-13 00:03:52
FEZ,1,ok,2018-11-13 00:18:29
AGG,1,ok,2018-11-13 00:36:30
ITB,1,ok,2018-11-13 00:15:23
EWC,1,ok,2018-11-13 00:33:32
UNG,1,ok,2018-11-13 00:49:17
USDJPY,1,ok,2018-11-13 01:42:39
GBPUSD,1,ok,2018-11-13 01:01:28
AUDUSD,1,ok,2018-11-13 01:53:53
USDCAD,1,ok,2018-11-13 02:29:49
EURJPY,1,ok,2018-11-13 03:06:04
NZDUSD,1,ok,2018-11-13 01:01:44
XAGUSD,1,ok,2018-11-13 01:54:15
