target,status,err,completion_time
EURUSD,1,ok,2018-11-06 09:36:24
EEM,1,ok,2018-11-06 10:13:37
EFA,1,ok,2018-11-06 10:49:06
EWZ,1,ok,2018-11-06 11:24:16
FXI,1,ok,2018-11-06 07:57:34
GDX,1,ok,2018-11-06 08:38:19
HYG,1,ok,2018-11-06 09:18:46
IAU,1,ok,2018-11-06 09:58:00
IWM,1,ok,2018-11-06 07:56:46
SPY,1,ok,2018-11-06 08:37:47
USO,1,ok,2018-11-06 09:18:14
VWO,1,ok,2018-11-06 09:57:37
XLE,1,ok,2018-11-06 07:57:31
XLF,1,ok,2018-11-06 08:38:22
XLI,1,ok,2018-11-06 09:18:50
XLK,1,ok,2018-11-06 09:58:02
XLP,1,ok,2018-11-06 07:57:29
XLU,1,ok,2018-11-06 08:38:22
XOP,1,ok,2018-11-06 09:18:41
JNK,1,ok,2018-11-06 09:57:55
IYR,1,ok,2018-11-06 10:36:02
VEA,1,ok,2018-11-06 11:12:56
SLV,1,ok,2018-11-06 11:49:55
XLV,1,ok,2018-11-06 12:26:59
RSX,1,ok,2018-11-06 10:36:19
TLT,1,ok,2018-11-06 11:13:03
EWJ,1,ok,2018-11-06 11:50:03
OIH,1,ok,2018-11-06 12:26:58
GLD,1,ok,2018-11-06 10:36:21
EZU,1,ok,2018-11-06 11:13:19
KRE,1,ok,2018-11-06 11:50:14
SMH,1,ok,2018-11-06 12:27:19
XLB,1,ok,2018-11-06 10:36:21
XRT,1,ok,2018-11-06 11:13:08
LQD,1,ok,2018-11-06 11:50:04
EWT,1,ok,2018-11-06 12:27:08
XLY,1,ok,2018-11-06 11:59:26
VNQ,1,ok,2018-11-06 12:35:14
EWH,1,ok,2018-11-06 13:11:37
EWW,1,ok,2018-11-06 13:47:47
XBI,1,ok,2018-11-06 13:03:51
DIA,1,ok,2018-11-06 13:40:45
EWG,1,ok,2018-11-06 14:17:53
VGK,1,ok,2018-11-06 14:55:15
IEF,1,ok,2018-11-06 13:04:04
EMB,1,ok,2018-11-06 13:40:39
FEZ,1,ok,2018-11-06 14:18:14
AGG,1,ok,2018-11-06 14:55:21
EWY,1,ok,2018-11-06 13:03:52
ITB,1,ok,2018-11-06 13:40:34
XHB,1,ok,2018-11-06 14:17:29
TBT,1,ok,2018-11-06 14:54:47
DBC,1,ok,2018-11-06 13:04:03
IBB,1,ok,2018-11-06 13:40:56
EWC,1,ok,2018-11-06 14:17:46
UNG,1,ok,2018-11-06 14:54:56
SHY,1,ok,2018-11-06 14:23:30
PFF,1,ok,2018-11-06 14:59:08
USDJPY,1,ok,2018-11-06 16:36:11
GBPUSD,1,ok,2018-11-06 18:13:44
AUDUSD,1,ok,2018-11-06 16:32:11
USDCHF,1,ok,2018-11-06 18:10:20
USDCAD,1,ok,2018-11-06 19:36:35
EURJPY,1,ok,2018-11-06 21:02:15
EURGBP,1,ok,2018-11-06 16:32:58
NZDUSD,1,ok,2018-11-06 18:11:15
XAGUSD,1,ok,2018-11-06 19:37:08
XAUUSD,1,ok,2018-11-06 21:02:21
