target,status,err,completion_time
EURUSD,1,ok,2018-11-08 03:50:55
EEM,1,ok,2018-11-08 03:57:29
EFA,1,ok,2018-11-08 04:04:00
EWZ,1,ok,2018-11-08 04:10:35
FXI,1,ok,2018-11-08 04:17:08
GDX,1,ok,2018-11-08 04:23:43
HYG,1,ok,2018-11-08 04:30:16
IAU,1,ok,2018-11-08 04:36:49
IWM,1,ok,2018-11-08 03:30:54
SPY,1,ok,2018-11-08 03:37:45
USO,1,ok,2018-11-08 03:44:37
VWO,1,ok,2018-11-08 03:51:21
XLE,1,ok,2018-11-08 03:58:00
XLF,1,ok,2018-11-08 04:04:39
XLI,1,ok,2018-11-08 04:11:20
XLK,1,ok,2018-11-08 04:18:01
XLP,1,ok,2018-11-08 04:24:41
XLU,1,ok,2018-11-08 04:31:19
XOP,1,ok,2018-11-08 04:38:00
JNK,1,ok,2018-11-08 04:44:40
IYR,1,ok,2018-11-08 04:51:22
VEA,1,ok,2018-11-08 04:58:03
SLV,1,ok,2018-11-08 05:04:47
XLV,1,ok,2018-11-08 05:11:31
RSX,1,ok,2018-11-08 04:43:24
TLT,1,ok,2018-11-08 04:50:02
EWJ,1,ok,2018-11-08 04:56:37
OIH,1,ok,2018-11-08 05:03:14
GLD,1,ok,2018-11-08 05:09:53
EZU,1,ok,2018-11-08 05:16:31
KRE,1,ok,2018-11-08 05:23:11
SMH,1,ok,2018-11-08 05:29:50
XLB,1,ok,2018-11-08 05:18:17
XRT,1,ok,2018-11-08 05:25:00
LQD,1,ok,2018-11-08 05:31:46
EWT,1,ok,2018-11-08 05:38:31
XLY,1,ok,2018-11-08 05:45:20
VNQ,1,ok,2018-11-08 05:52:12
EWH,1,ok,2018-11-08 05:59:05
EWW,1,ok,2018-11-08 06:05:56
XBI,1,ok,2018-11-08 05:36:27
DIA,1,ok,2018-11-08 05:43:08
EWG,1,ok,2018-11-08 05:49:52
VGK,1,ok,2018-11-08 05:56:38
IEF,1,ok,2018-11-08 06:03:25
EMB,1,ok,2018-11-08 06:10:03
FEZ,1,ok,2018-11-08 06:16:40
AGG,1,ok,2018-11-08 06:23:22
ITB,1,ok,2018-11-08 06:12:42
EWC,1,ok,2018-11-08 06:19:26
UNG,1,ok,2018-11-08 06:25:56
USDJPY,1,ok,2018-11-08 06:52:38
GBPUSD,1,ok,2018-11-08 07:19:14
AUDUSD,1,ok,2018-11-08 07:41:43
USDCAD,1,ok,2018-11-08 08:04:24
EURJPY,1,ok,2018-11-08 08:27:31
NZDUSD,1,ok,2018-11-08 06:49:56
XAGUSD,1,ok,2018-11-08 07:16:29
