target,status,err,completion_time
EURUSD,1,ok,2018-11-09 05:54:00
EEM,1,ok,2018-11-09 06:03:26
EFA,1,ok,2018-11-09 06:12:39
EWZ,1,ok,2018-11-09 06:21:43
FXI,1,ok,2018-11-09 06:31:05
GDX,1,ok,2018-11-09 06:40:27
HYG,1,ok,2018-11-09 06:49:37
IAU,1,ok,2018-11-09 06:58:32
IWM,1,ok,2018-11-09 05:24:34
SPY,1,ok,2018-11-09 05:34:17
USO,1,ok,2018-11-09 05:44:18
VWO,1,ok,2018-11-09 05:54:13
XLE,1,ok,2018-11-09 06:03:42
XLF,1,ok,2018-11-09 06:12:59
XLI,1,ok,2018-11-09 06:22:14
XLK,1,ok,2018-11-09 06:31:40
XLP,1,ok,2018-11-09 06:41:04
XLU,1,ok,2018-11-09 06:50:21
XOP,1,ok,2018-11-09 06:59:24
JNK,1,ok,2018-11-09 07:08:23
IYR,1,ok,2018-11-09 07:17:49
VEA,1,ok,2018-11-09 07:26:53
SLV,1,ok,2018-11-09 07:35:53
XLV,1,ok,2018-11-09 07:45:02
RSX,1,ok,2018-11-09 07:07:27
TLT,1,ok,2018-11-09 07:16:42
EWJ,1,ok,2018-11-09 07:25:46
OIH,1,ok,2018-11-09 07:34:39
GLD,1,ok,2018-11-09 07:43:36
EZU,1,ok,2018-11-09 07:53:00
KRE,1,ok,2018-11-09 08:02:27
SMH,1,ok,2018-11-09 08:11:53
XLB,1,ok,2018-11-09 07:54:31
XRT,1,ok,2018-11-09 08:04:04
LQD,1,ok,2018-11-09 08:13:28
EWT,1,ok,2018-11-09 08:22:28
XLY,1,ok,2018-11-09 08:31:29
VNQ,1,ok,2018-11-09 08:40:44
EWH,1,ok,2018-11-09 08:50:04
EWW,1,ok,2018-11-09 08:59:06
XBI,1,ok,2018-11-09 08:20:53
DIA,1,ok,2018-11-09 08:29:48
EWG,1,ok,2018-11-09 08:38:49
VGK,1,ok,2018-11-09 08:48:12
IEF,1,ok,2018-11-09 08:57:11
EMB,1,ok,2018-11-09 09:06:05
FEZ,1,ok,2018-11-09 09:15:08
AGG,1,ok,2018-11-09 09:24:41
ITB,1,ok,2018-11-09 09:08:15
EWC,1,ok,2018-11-09 09:17:39
UNG,1,ok,2018-11-09 09:27:09
USDJPY,1,ok,2018-11-09 10:05:04
GBPUSD,1,ok,2018-11-09 10:42:48
AUDUSD,1,ok,2018-11-09 11:12:36
USDCAD,1,ok,2018-11-09 11:41:51
EURJPY,1,ok,2018-11-09 12:11:02
NZDUSD,1,ok,2018-11-09 10:02:30
XAGUSD,1,ok,2018-11-09 10:40:16
