target,status,err,completion_time
EURUSD,1,ok,2018-11-01 21:26:40
EEM,1,ok,2018-11-01 21:47:55
EFA,1,ok,2018-11-01 22:08:57
EWZ,1,ok,2018-11-01 20:31:11
FXI,1,ok,2018-11-01 20:54:35
HYG,1,ok,2018-11-01 21:18:10
IAU,1,ok,2018-11-01 20:31:14
IWM,1,ok,2018-11-01 20:54:41
SPY,1,ok,2018-11-01 21:18:18
VWO,1,ok,2018-11-01 20:31:22
XLE,1,ok,2018-11-01 20:54:50
XLF,1,ok,2018-11-01 21:18:28
XLI,1,ok,2018-11-01 20:31:25
XLK,1,ok,2018-11-01 20:54:56
XLP,1,ok,2018-11-01 21:18:35
XLU,1,ok,2018-11-01 21:41:01
XOP,1,ok,2018-11-01 22:03:30
JNK,1,ok,2018-11-01 22:25:58
IYR,1,ok,2018-11-01 21:41:06
VEA,1,ok,2018-11-01 22:03:34
SLV,1,ok,2018-11-01 22:26:02
XLV,1,ok,2018-11-01 21:41:12
RSX,1,ok,2018-11-01 22:03:43
TLT,1,ok,2018-11-01 22:26:11
EWJ,1,ok,2018-11-01 21:41:17
OIH,1,ok,2018-11-01 22:03:47
GLD,1,ok,2018-11-01 22:26:12
EZU,1,ok,2018-11-01 22:30:02
KRE,1,ok,2018-11-01 22:51:35
SMH,1,ok,2018-11-01 23:13:33
XLB,1,ok,2018-11-01 22:48:24
XRT,1,ok,2018-11-01 23:11:03
LQD,1,ok,2018-11-01 23:33:49
EWT,1,ok,2018-11-01 22:48:35
XLY,1,ok,2018-11-01 23:11:15
VNQ,1,ok,2018-11-01 23:34:00
EWH,1,ok,2018-11-01 22:48:38
EWW,1,ok,2018-11-01 23:11:21
XBI,1,ok,2018-11-01 23:34:03
DIA,1,ok,2018-11-01 22:48:42
EWG,1,ok,2018-11-01 23:11:21
VGK,1,ok,2018-11-01 23:34:02
IEF,1,ok,2018-11-01 23:35:34
EMB,1,ok,2018-11-01 23:51:39
FEZ,1,ok,2018-11-02 00:11:30
AGG,1,ok,2018-11-01 23:50:50
EWC,1,ok,2018-11-02 00:10:41
USDJPY,1,ok,2018-11-02 00:59:55
AUDUSD,1,ok,2018-11-02 00:33:02
USDCAD,1,ok,2018-11-02 01:15:41
EURJPY,1,ok,2018-11-02 01:54:17
NZDUSD,1,ok,2018-11-02 00:33:54
