target,status,err,completion_time
EURUSD,1,ok,2018-11-05 01:14:53
EEM,1,ok,2018-11-05 01:56:56
EFA,1,ok,2018-11-05 02:39:25
EWZ,1,ok,2018-11-05 03:22:58
FXI,1,ok,2018-11-04 23:24:49
GDX,1,ok,2018-11-05 00:12:28
HYG,1,ok,2018-11-05 01:00:06
IAU,1,ok,2018-11-05 01:45:28
IWM,1,ok,2018-11-04 23:24:44
SPY,1,ok,2018-11-05 00:12:36
USO,1,ok,2018-11-05 01:00:08
VWO,1,ok,2018-11-05 01:45:16
XLE,1,ok,2018-11-04 23:24:41
XLF,1,ok,2018-11-05 00:12:31
XLI,1,ok,2018-11-05 01:00:06
XLK,1,ok,2018-11-05 01:45:20
XLP,1,ok,2018-11-04 23:24:29
XLU,1,ok,2018-11-05 00:12:13
XOP,1,ok,2018-11-05 00:59:40
JNK,1,ok,2018-11-05 01:44:52
IYR,1,ok,2018-11-05 02:30:03
VEA,1,ok,2018-11-05 03:15:14
SLV,1,ok,2018-11-05 03:59:34
XLV,1,ok,2018-11-05 04:45:00
RSX,1,ok,2018-11-05 02:30:37
TLT,1,ok,2018-11-05 03:16:01
EWJ,1,ok,2018-11-05 04:00:51
OIH,1,ok,2018-11-05 04:46:29
GLD,1,ok,2018-11-05 02:30:40
EZU,1,ok,2018-11-05 03:15:56
KRE,1,ok,2018-11-05 04:00:42
SMH,1,ok,2018-11-05 04:46:21
XLB,1,ok,2018-11-05 02:30:46
XRT,1,ok,2018-11-05 03:16:15
LQD,1,ok,2018-11-05 04:00:59
EWT,1,ok,2018-11-05 04:46:32
XLY,1,ok,2018-11-05 04:06:51
VNQ,1,ok,2018-11-05 04:51:10
EWH,1,ok,2018-11-05 05:35:51
EWW,1,ok,2018-11-05 06:20:29
XBI,1,ok,2018-11-05 05:30:20
DIA,1,ok,2018-11-05 06:15:09
EWG,1,ok,2018-11-05 07:01:17
VGK,1,ok,2018-11-05 07:46:50
IEF,1,ok,2018-11-05 05:32:07
EMB,1,ok,2018-11-05 06:18:04
FEZ,1,ok,2018-11-05 07:03:34
AGG,1,ok,2018-11-05 07:49:45
EWY,1,ok,2018-11-05 05:32:17
ITB,1,ok,2018-11-05 06:17:54
XHB,1,ok,2018-11-05 07:03:31
TBT,1,ok,2018-11-05 07:49:19
DBC,1,ok,2018-11-05 05:32:13
IBB,1,ok,2018-11-05 06:17:49
EWC,1,ok,2018-11-05 07:02:52
UNG,1,ok,2018-11-05 07:49:00
SHY,1,ok,2018-11-05 07:05:04
PFF,1,ok,2018-11-05 07:50:23
USDJPY,1,ok,2018-11-05 09:42:28
GBPUSD,1,ok,2018-11-05 11:36:04
AUDUSD,1,ok,2018-11-05 09:39:13
USDCHF,1,ok,2018-11-05 11:33:16
USDCAD,1,ok,2018-11-05 13:10:22
EURJPY,1,ok,2018-11-05 14:46:39
EURGBP,1,ok,2018-11-05 09:41:13
NZDUSD,1,ok,2018-11-05 11:34:43
XAGUSD,1,ok,2018-11-05 13:11:42
XAUUSD,1,ok,2018-11-05 14:47:30
