target,status,err,completion_time
EURUSD,1,ok: continue,2018-11-29 06:04:00
EEM,1,ok: continue,2018-11-29 06:04:00
EFA,1,ok: continue,2018-11-29 06:04:00
EWZ,1,ok: continue,2018-11-29 06:04:00
FXI,1,ok: continue,2018-11-29 06:04:00
GDX,1,ok: continue,2018-11-29 06:04:00
HYG,1,ok: continue,2018-11-29 06:04:00
IAU,1,ok: continue,2018-11-29 06:04:00
IWM,1,ok: continue,2018-11-29 06:04:00
SPY,1,ok: continue,2018-11-29 06:04:00
USO,1,ok: continue,2018-11-29 06:04:00
VWO,1,ok: continue,2018-11-29 06:04:00
XLE,1,ok: continue,2018-11-29 06:04:00
XLF,1,ok: continue,2018-11-29 06:04:00
XLI,1,ok: continue,2018-11-29 06:04:00
XLK,1,ok: continue,2018-11-29 06:04:00
XLP,1,ok: continue,2018-11-29 06:04:00
XLU,1,ok: continue,2018-11-29 06:04:00
XOP,1,ok: continue,2018-11-29 06:04:00
JNK,1,ok: continue,2018-11-29 06:04:00
IYR,1,ok: continue,2018-11-29 06:04:00
VEA,1,ok: continue,2018-11-29 06:04:00
SLV,1,ok: continue,2018-11-29 06:04:00
XLV,1,ok: continue,2018-11-29 06:04:00
RSX,1,ok: continue,2018-11-29 06:04:00
TLT,1,ok: continue,2018-11-29 06:04:00
EWJ,1,ok: continue,2018-11-29 06:04:00
OIH,1,ok: continue,2018-11-29 06:04:00
GLD,1,ok: continue,2018-11-29 06:04:00
EZU,1,ok: continue,2018-11-29 06:04:00
KRE,1,ok: continue,2018-11-29 06:04:00
SMH,1,ok: continue,2018-11-29 06:04:00
XLB,1,ok: continue,2018-11-29 06:04:00
XRT,1,ok: continue,2018-11-29 06:04:00
LQD,1,ok: continue,2018-11-29 06:04:00
EWT,1,ok: continue,2018-11-29 06:04:00
XLY,1,ok: continue,2018-11-29 06:04:00
VNQ,1,ok: continue,2018-11-29 06:04:00
EWH,1,ok: continue,2018-11-29 06:04:00
EWW,1,ok: continue,2018-11-29 06:04:00
XBI,1,ok: continue,2018-11-29 06:04:00
DIA,1,ok: continue,2018-11-29 06:04:00
EWG,1,ok: continue,2018-11-29 06:04:00
VGK,1,ok: continue,2018-11-29 06:04:00
IEF,1,ok,2018-11-29 06:32:25
EMB,1,ok,2018-11-29 07:00:55
FEZ,1,ok,2018-11-29 07:25:01
AGG,1,ok,2018-11-29 07:53:57
ITB,1,ok,2018-11-29 06:31:51
EWC,1,ok,2018-11-29 07:00:16
UNG,1,ok,2018-11-29 07:24:26
USDJPY,1,ok,2018-11-29 08:29:48
GBPUSD,1,ok: continue,2018-11-29 06:04:00
AUDUSD,1,ok: continue,2018-11-29 06:04:00
USDCAD,1,ok: continue,2018-11-29 06:04:00
EURJPY,1,ok: continue,2018-11-29 06:04:00
NZDUSD,1,ok,2018-11-29 07:09:40
XAGUSD,1,ok,2018-11-29 08:18:43
