target,status,err,completion_time
EURUSD,1,ok: continue,2018-11-29 10:28:40
EEM,1,ok: continue,2018-11-29 10:28:40
EFA,1,ok: continue,2018-11-29 10:28:40
EWZ,1,ok: continue,2018-11-29 10:28:40
FXI,1,ok: continue,2018-11-29 10:28:40
GDX,1,ok: continue,2018-11-29 10:28:40
HYG,1,ok: continue,2018-11-29 10:28:40
IAU,1,ok: continue,2018-11-29 10:28:40
IWM,1,ok: continue,2018-11-29 10:28:40
SPY,1,ok: continue,2018-11-29 10:28:40
USO,1,ok: continue,2018-11-29 10:28:40
VWO,1,ok: continue,2018-11-29 10:28:40
XLE,1,ok: continue,2018-11-29 10:28:40
XLF,1,ok: continue,2018-11-29 10:28:40
XLI,1,ok: continue,2018-11-29 10:28:40
XLK,1,ok: continue,2018-11-29 10:28:40
XLP,1,ok: continue,2018-11-29 10:28:40
XLU,1,ok: continue,2018-11-29 10:28:40
XOP,1,ok: continue,2018-11-29 10:28:40
JNK,1,ok: continue,2018-11-29 10:28:40
IYR,1,ok: continue,2018-11-29 10:28:40
VEA,1,ok: continue,2018-11-29 10:28:40
SLV,1,ok: continue,2018-11-29 10:28:40
XLV,1,ok: continue,2018-11-29 10:28:40
RSX,1,ok: continue,2018-11-29 10:28:40
TLT,1,ok: continue,2018-11-29 10:28:40
EWJ,1,ok: continue,2018-11-29 10:28:40
OIH,1,ok: continue,2018-11-29 10:28:40
GLD,1,ok: continue,2018-11-29 10:28:40
EZU,1,ok: continue,2018-11-29 10:28:40
KRE,1,ok: continue,2018-11-29 10:28:40
SMH,1,ok: continue,2018-11-29 10:28:40
XLB,1,ok: continue,2018-11-29 10:28:40
XRT,1,ok: continue,2018-11-29 10:28:40
LQD,1,ok: continue,2018-11-29 10:28:40
EWT,1,ok: continue,2018-11-29 10:28:40
XLY,1,ok: continue,2018-11-29 10:28:40
VNQ,1,ok: continue,2018-11-29 10:28:40
EWH,1,ok: continue,2018-11-29 10:28:40
EWW,1,ok: continue,2018-11-29 10:28:40
XBI,1,ok: continue,2018-11-29 10:28:40
DIA,1,ok: continue,2018-11-29 10:28:40
EWG,1,ok: continue,2018-11-29 10:28:40
VGK,1,ok: continue,2018-11-29 10:28:40
IEF,1,ok,2018-11-29 10:59:08
EMB,1,ok,2018-11-29 11:29:32
FEZ,1,ok,2018-11-29 11:53:56
AGG,1,ok,2018-11-29 12:22:58
ITB,1,ok,2018-11-29 10:59:15
EWC,1,ok,2018-11-29 11:29:26
UNG,1,ok,2018-11-29 11:53:49
USDJPY,1,ok,2018-11-29 12:59:08
GBPUSD,1,ok,2018-11-29 11:41:01
AUDUSD,1,ok,2018-11-29 12:47:58
USDCAD,1,ok,2018-11-29 13:32:25
EURJPY,1,ok,2018-11-29 14:15:39
NZDUSD,1,ok: continue,2018-11-29 10:28:40
XAGUSD,1,ok: continue,2018-11-29 10:28:40
