target,status,err,completion_time
EURUSD,1,ok: continue,2018-12-27 04:21:31
EEM,1,ok: continue,2018-12-27 04:21:31
EFA,1,ok: continue,2018-12-27 04:21:31
EWZ,1,ok: continue,2018-12-27 04:21:31
FXI,1,ok: continue,2018-12-27 04:21:31
GDX,1,ok: continue,2018-12-27 04:21:31
HYG,1,ok: continue,2018-12-27 04:21:31
IAU,1,ok: continue,2018-12-27 04:21:31
IWM,1,ok: continue,2018-12-27 04:21:31
SPY,1,ok: continue,2018-12-27 04:21:31
USO,1,ok: continue,2018-12-27 04:21:31
VWO,1,ok: continue,2018-12-27 04:21:31
XLE,1,ok: continue,2018-12-27 04:21:31
XLF,1,ok: continue,2018-12-27 04:21:31
XLI,1,ok: continue,2018-12-27 04:21:31
XLK,1,ok: continue,2018-12-27 04:21:31
XLP,1,ok: continue,2018-12-27 04:21:31
XLU,1,ok: continue,2018-12-27 04:21:31
XOP,1,ok: continue,2018-12-27 04:21:31
JNK,1,ok: continue,2018-12-27 04:21:31
IYR,1,ok: continue,2018-12-27 04:21:31
VEA,1,ok: continue,2018-12-27 04:21:31
SLV,1,ok: continue,2018-12-27 04:21:31
XLV,1,ok: continue,2018-12-27 04:21:31
RSX,1,ok: continue,2018-12-27 04:21:31
TLT,1,ok: continue,2018-12-27 04:21:31
EWJ,1,ok: continue,2018-12-27 04:21:31
OIH,1,ok: continue,2018-12-27 04:21:31
GLD,1,ok: continue,2018-12-27 04:21:31
EZU,1,ok: continue,2018-12-27 04:21:31
KRE,1,ok: continue,2018-12-27 04:21:31
SMH,1,ok: continue,2018-12-27 04:21:31
XLB,1,ok: continue,2018-12-27 04:21:31
XRT,1,ok: continue,2018-12-27 04:21:31
LQD,1,ok: continue,2018-12-27 04:21:31
EWT,1,ok: continue,2018-12-27 04:21:31
XLY,1,ok: continue,2018-12-27 04:21:31
VNQ,1,ok: continue,2018-12-27 04:21:31
EWH,1,ok: continue,2018-12-27 04:21:31
EWW,1,ok: continue,2018-12-27 04:21:31
XBI,1,ok: continue,2018-12-27 04:21:31
DIA,1,ok: continue,2018-12-27 04:21:31
EWG,1,ok: continue,2018-12-27 04:21:31
VGK,1,ok: continue,2018-12-27 04:21:31
IEF,1,ok: continue,2018-12-27 04:21:31
EMB,1,ok: continue,2018-12-27 04:21:31
FEZ,1,ok: continue,2018-12-27 04:21:31
AGG,1,ok: continue,2018-12-27 04:21:31
UCO,1,ok: continue,2018-12-27 04:21:31
EWY,1,ok: continue,2018-12-27 04:21:31
ITB,1,ok: continue,2018-12-27 04:21:31
XHB,1,ok: continue,2018-12-27 04:21:31
TBT,1,ok: continue,2018-12-27 04:21:31
DBC,1,ok: continue,2018-12-27 04:21:31
IBB,1,ok: continue,2018-12-27 04:21:31
EWC,1,ok: continue,2018-12-27 04:21:31
UNG,1,ok: continue,2018-12-27 04:21:31
SHY,1,ok: continue,2018-12-27 04:21:31
PFF,1,ok: continue,2018-12-27 04:21:31
USDJPY,1,ok: continue,2018-12-27 04:21:31
GBPUSD,1,ok: continue,2018-12-27 04:21:31
AUDUSD,1,ok: continue,2018-12-27 04:21:31
USDCHF,1,ok: continue,2018-12-27 04:21:31
USDCAD,1,ok: continue,2018-12-27 04:21:31
EURJPY,1,ok: continue,2018-12-27 04:21:31
EURGBP,1,ok: continue,2018-12-27 04:21:31
NZDUSD,1,ok: continue,2018-12-27 04:21:31
XAGUSD,1,ok: continue,2018-12-27 04:21:31
XAUUSD,1,ok: continue,2018-12-27 04:21:31
