target,status,err,completion_time
EURUSD,1,ok,2019-01-14 03:16:43
EEM,1,ok,2019-01-14 08:26:11
EFA,1,ok,2019-01-14 13:33:07
EWZ,1,ok,2019-01-14 18:45:48
FXI,1,ok,2019-01-13 13:48:35
GDX,1,ok,2019-01-13 19:26:45
HYG,1,ok,2019-01-14 01:15:20
IAU,1,ok,2019-01-14 06:59:08
IWM,1,ok,2019-01-13 13:46:54
SPY,1,ok,2019-01-13 19:24:44
USO,1,ok,2019-01-14 01:11:22
VWO,1,ok,2019-01-14 06:50:15
XLE,1,ok,2019-01-13 13:58:56
XLF,1,ok,2019-01-13 19:37:37
XLI,1,ok,2019-01-14 01:26:05
XLK,1,ok,2019-01-14 07:10:12
XLP,1,ok,2019-01-13 13:59:41
XLU,1,ok,2019-01-13 19:37:41
XOP,1,ok,2019-01-14 01:25:56
JNK,1,ok,2019-01-14 07:08:54
IYR,1,ok,2019-01-14 12:09:59
VEA,1,ok,2019-01-14 17:22:11
SLV,1,ok,2019-01-14 22:37:06
XLV,1,ok,2019-01-15 03:55:07
RSX,1,ok,2019-01-14 12:26:08
TLT,1,ok,2019-01-14 17:51:37
EWJ,1,ok,2019-01-14 23:19:15
OIH,1,ok,2019-01-15 04:45:23
GLD,1,ok,2019-01-14 12:37:52
EZU,1,ok,2019-01-14 18:07:09
KRE,1,ok,2019-01-14 23:40:47
SMH,1,ok,2019-01-15 05:23:11
XLB,1,ok,2019-01-14 12:39:36
XRT,1,ok,2019-01-14 18:08:39
LQD,1,ok,2019-01-14 23:42:00
EWT,1,ok,2019-01-15 05:27:38
XLY,1,ok,2019-01-15 00:05:06
VNQ,1,ok,2019-01-15 05:43:18
EWH,1,ok,2019-01-15 11:11:40
EWW,1,ok,2019-01-15 16:38:35
XBI,1,ok,2019-01-15 09:13:03
DIA,1,ok,2019-01-15 14:27:41
EWG,1,ok,2019-01-15 19:39:50
VGK,1,ok,2019-01-16 00:59:58
IEF,1,ok,2019-01-15 10:02:01
EMB,1,ok,2019-01-15 15:14:57
FEZ,1,ok,2019-01-15 20:25:39
AGG,1,ok,2019-01-16 01:44:27
UCO,1,ok,2019-01-15 10:52:33
EWY,1,ok,2019-01-15 16:21:13
ITB,1,ok,2019-01-15 21:50:05
XHB,1,ok,2019-01-16 02:44:27
TBT,1,ok,2019-01-15 10:58:32
DBC,1,ok,2019-01-15 16:29:37
IBB,1,ok,2019-01-15 22:00:33
EWC,1,ok,2019-01-16 02:56:37
UNG,1,ok,2019-01-15 22:07:56
SHY,1,ok,2019-01-16 03:00:20
PFF,1,ok,2019-01-16 07:31:04
USDJPY,1,ok,2019-01-16 21:43:29
GBPUSD,1,ok,2019-01-16 16:52:00
AUDUSD,1,ok,2019-01-17 03:01:37
USDCHF,1,ok,2019-01-17 11:19:42
USDCAD,1,ok,2019-01-17 19:24:17
EURJPY,1,ok,2019-01-16 17:48:26
EURGBP,1,ok,2019-01-17 03:30:16
NZDUSD,1,ok,2019-01-17 11:50:47
XAGUSD,1,ok,2019-01-17 20:00:12
XAUUSD,1,ok,2019-01-16 18:22:08
